stock,5,10,15,20
002001.SZ,002081.SZ,002081.SZ,000725.SZ,000725.SZ
002002.SZ,000685.SZ,000685.SZ,600064.SH,600064.SH
002003.SZ,000564.SZ,600084.SH,600666.SH,600666.SH
002004.SZ,000415.SZ,600157.SH,002739.SZ,002739.SZ
002005.SZ,000752.SZ,000752.SZ,002499.SZ,600652.SH
002006.SZ,300111.SZ,600680.SH,600680.SH,600680.SH
002007.SZ,300132.SZ,300132.SZ,002070.SZ,002070.SZ
002008.SZ,300124.SZ,300124.SZ,300124.SZ,600702.SH
002009.SZ,002251.SZ,000426.SZ,000426.SZ,000426.SZ
002010.SZ,002716.SZ,002343.SZ,002721.SZ,300090.SZ
002011.SZ,300278.SZ,300278.SZ,300278.SZ,300278.SZ
002012.SZ,002033.SZ,601718.SH,002366.SZ,002366.SZ
002013.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
002014.SZ,000812.SZ,000812.SZ,000812.SZ,000812.SZ
002015.SZ,000156.SZ,000156.SZ,000812.SZ,000812.SZ
002016.SZ,002044.SZ,002044.SZ,002044.SZ,002044.SZ
002017.SZ,002323.SZ,600680.SH,600680.SH,600680.SH
002018.SZ,002604.SZ,002604.SZ,002604.SZ,002694.SZ
002019.SZ,000488.SZ,000488.SZ,000488.SZ,000426.SZ
002020.SZ,300463.SZ,300463.SZ,300463.SZ,300328.SZ
002021.SZ,600666.SH,000038.SZ,000038.SZ,000038.SZ
002022.SZ,000564.SZ,000564.SZ,000564.SZ,000564.SZ
002023.SZ,600680.SH,600680.SH,600680.SH,600680.SH
002024.SZ,300124.SZ,300124.SZ,300124.SZ,300124.SZ
002025.SZ,002025.SZ,002025.SZ,002025.SZ,002025.SZ
002026.SZ,000909.SZ,600820.SH,000812.SZ,000812.SZ
002027.SZ,002739.SZ,002739.SZ,002739.SZ,002098.SZ
002028.SZ,600490.SH,600490.SH,002739.SZ,002739.SZ
002029.SZ,600227.SH,600227.SH,600227.SH,002739.SZ
002030.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
002031.SZ,002004.SZ,600869.SH,600869.SH,600820.SH
002032.SZ,600132.SH,600763.SH,600763.SH,600763.SH
002033.SZ,002076.SZ,002076.SZ,002076.SZ,002076.SZ
002034.SZ,002034.SZ,002034.SZ,002034.SZ,002034.SZ
002035.SZ,600165.SH,002418.SZ,600165.SH,600165.SH
002036.SZ,002055.SZ,002122.SZ,002122.SZ,002122.SZ
002037.SZ,000812.SZ,000812.SZ,000812.SZ,000971.SZ
002038.SZ,600771.SH,600771.SH,600771.SH,002320.SZ
002039.SZ,600618.SH,002505.SZ,002505.SZ,002505.SZ
002040.SZ,600981.SH,000564.SZ,000564.SZ,002070.SZ
002041.SZ,002263.SZ,002263.SZ,002263.SZ,002263.SZ
002042.SZ,300396.SZ,300396.SZ,300441.SZ,002622.SZ
002043.SZ,000888.SZ,000888.SZ,300156.SZ,300156.SZ
002044.SZ,300308.SZ,300176.SZ,300176.SZ,300176.SZ
002045.SZ,002045.SZ,002045.SZ,002045.SZ,002045.SZ
002046.SZ,002487.SZ,002300.SZ,002473.SZ,002473.SZ
002047.SZ,002098.SZ,002098.SZ,000760.SZ,000760.SZ
002048.SZ,002622.SZ,600515.SH,600666.SH,600666.SH
002049.SZ,600460.SH,600809.SH,600809.SH,600809.SH
002050.SZ,600260.SH,600260.SH,300176.SZ,300176.SZ
002051.SZ,000065.SZ,000065.SZ,000564.SZ,000564.SZ
002052.SZ,600257.SH,600680.SH,002606.SZ,002606.SZ
002053.SZ,002143.SZ,002143.SZ,002143.SZ,600257.SH
002054.SZ,000823.SZ,002427.SZ,002759.SZ,002759.SZ
002055.SZ,002121.SZ,002072.SZ,300032.SZ,300032.SZ
002056.SZ,300291.SZ,002505.SZ,002505.SZ,002505.SZ
002057.SZ,002604.SZ,300238.SZ,300238.SZ,601555.SH
002058.SZ,000506.SZ,000812.SZ,000812.SZ,000812.SZ
002059.SZ,000722.SZ,000564.SZ,002076.SZ,002076.SZ
002060.SZ,002606.SZ,002606.SZ,002606.SZ,002606.SZ
002061.SZ,600703.SH,002252.SZ,002252.SZ,002252.SZ
002062.SZ,000564.SZ,000564.SZ,000564.SZ,000509.SZ
002063.SZ,300118.SZ,300118.SZ,300118.SZ,002531.SZ
002064.SZ,600863.SH,600863.SH,600837.SH,600837.SH
002065.SZ,600666.SH,600666.SH,600666.SH,600666.SH
002066.SZ,000812.SZ,000812.SZ,000812.SZ,000812.SZ
002067.SZ,002122.SZ,002101.SZ,300032.SZ,300278.SZ
002068.SZ,002176.SZ,600409.SH,600409.SH,002072.SZ
002069.SZ,600666.SH,600289.SH,600289.SH,002188.SZ
002070.SZ,002150.SZ,000034.SZ,002575.SZ,002575.SZ
002071.SZ,002220.SZ,600069.SH,600069.SH,600069.SH
002072.SZ,300143.SZ,300143.SZ,002739.SZ,002739.SZ
002073.SZ,600502.SH,600502.SH,000812.SZ,000812.SZ
002074.SZ,300278.SZ,300278.SZ,000816.SZ,000816.SZ
002075.SZ,002075.SZ,002075.SZ,002075.SZ,002075.SZ
002076.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
002077.SZ,000815.SZ,002312.SZ,002312.SZ,002312.SZ
002078.SZ,603799.SH,603993.SH,300176.SZ,300176.SZ
002079.SZ,600330.SH,002600.SZ,002600.SZ,002600.SZ
002080.SZ,000540.SZ,000540.SZ,000540.SZ,002321.SZ
002081.SZ,000725.SZ,000725.SZ,000725.SZ,002451.SZ
002082.SZ,000030.SZ,300131.SZ,300131.SZ,600610.SH
002083.SZ,000540.SZ,000816.SZ,000816.SZ,000816.SZ
002084.SZ,600261.SH,600261.SH,600193.SH,600193.SH
002085.SZ,002569.SZ,002569.SZ,002569.SZ,002569.SZ
002086.SZ,002072.SZ,002072.SZ,002072.SZ,002072.SZ
002087.SZ,000559.SZ,002122.SZ,002122.SZ,300071.SZ
002088.SZ,002263.SZ,002263.SZ,002263.SZ,002263.SZ
002089.SZ,600666.SH,600666.SH,600666.SH,600666.SH
002090.SZ,002047.SZ,002047.SZ,002047.SZ,002047.SZ
002091.SZ,600666.SH,600666.SH,600666.SH,600666.SH
002092.SZ,000540.SZ,002622.SZ,002622.SZ,002622.SZ
002093.SZ,002079.SZ,002079.SZ,002079.SZ,600556.SH
002094.SZ,002259.SZ,600069.SH,300004.SZ,600666.SH
002095.SZ,000796.SZ,002252.SZ,600138.SH,600138.SH
002096.SZ,300218.SZ,300218.SZ,000428.SZ,002606.SZ
002097.SZ,600780.SH,600780.SH,002739.SZ,002739.SZ
002098.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
002099.SZ,000720.SZ,000037.SZ,300079.SZ,002017.SZ
002100.SZ,002189.SZ,002189.SZ,002189.SZ,002733.SZ
002101.SZ,002122.SZ,002739.SZ,002739.SZ,002739.SZ
002102.SZ,002010.SZ,002010.SZ,002010.SZ,002010.SZ
002103.SZ,600666.SH,600666.SH,002569.SZ,002569.SZ
002104.SZ,002167.SZ,002167.SZ,002167.SZ,600157.SH
002105.SZ,000428.SZ,000428.SZ,002606.SZ,002606.SZ
002106.SZ,000667.SZ,000812.SZ,000812.SZ,000812.SZ
002107.SZ,002263.SZ,002270.SZ,002270.SZ,002270.SZ
002108.SZ,600666.SH,002143.SZ,002143.SZ,002143.SZ
002109.SZ,600666.SH,600666.SH,600666.SH,300278.SZ
002110.SZ,600569.SH,600282.SH,600569.SH,600569.SH
002111.SZ,000156.SZ,000156.SZ,000812.SZ,000812.SZ
002112.SZ,300038.SZ,300038.SZ,002739.SZ,002739.SZ
002113.SZ,002113.SZ,002113.SZ,002113.SZ,002113.SZ
002114.SZ,300032.SZ,300032.SZ,300032.SZ,300032.SZ
002115.SZ,002621.SZ,002621.SZ,002621.SZ,002621.SZ
002116.SZ,600109.SH,600109.SH,300217.SZ,300217.SZ
002117.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
002118.SZ,600572.SH,600572.SH,600572.SH,600572.SH
002119.SZ,300238.SZ,002139.SZ,002139.SZ,002139.SZ
002120.SZ,002263.SZ,002263.SZ,002263.SZ,300198.SZ
002121.SZ,002055.SZ,002055.SZ,002101.SZ,002101.SZ
002122.SZ,002716.SZ,300038.SZ,300038.SZ,300038.SZ
002123.SZ,002323.SZ,600680.SH,600680.SH,600680.SH
002124.SZ,300033.SZ,300033.SZ,600776.SH,600776.SH
002125.SZ,600595.SH,300278.SZ,300278.SZ,300278.SZ
002126.SZ,000540.SZ,603660.SH,603660.SH,603660.SH
002127.SZ,002271.SZ,002449.SZ,002601.SZ,600133.SH
002128.SZ,000933.SZ,000933.SZ,000933.SZ,000709.SZ
002129.SZ,002129.SZ,002129.SZ,002129.SZ,002129.SZ
002130.SZ,002797.SZ,300443.SZ,002473.SZ,002606.SZ
002131.SZ,300063.SZ,300063.SZ,300063.SZ,300063.SZ
002132.SZ,002132.SZ,002132.SZ,002132.SZ,002132.SZ
002133.SZ,600084.SH,002076.SZ,002076.SZ,002076.SZ
002134.SZ,300440.SZ,300440.SZ,300440.SZ,000728.SZ
002135.SZ,600496.SH,002392.SZ,002392.SZ,300284.SZ
002136.SZ,600666.SH,600666.SH,600666.SH,002219.SZ
002137.SZ,600784.SH,600784.SH,600784.SH,600784.SH
002138.SZ,300328.SZ,300328.SZ,600546.SH,002237.SZ
002139.SZ,002122.SZ,002122.SZ,300069.SZ,300069.SZ
002140.SZ,002263.SZ,000156.SZ,000156.SZ,000156.SZ
002141.SZ,300071.SZ,002739.SZ,002739.SZ,002739.SZ
002142.SZ,000876.SZ,002157.SZ,002157.SZ,002157.SZ
002143.SZ,000587.SZ,000587.SZ,000587.SZ,000587.SZ
002144.SZ,000679.SZ,601801.SH,601801.SH,601801.SH
002145.SZ,600067.SH,600067.SH,600035.SH,600035.SH
002146.SZ,600340.SH,600340.SH,002531.SZ,002531.SZ
002147.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
