,time,price,change,volume,amount,type
0,09:25:05,5.6,-0.07,126,70560,卖盘
1,09:30:04,5.61,0.01,3,1683,中性盘
2,09:30:13,5.62,0.01,7,3934,卖盘
3,09:30:19,5.62,0.0,33,18546,卖盘
4,09:30:31,5.63,0.01,4,2252,买盘
5,09:30:37,5.63,0.0,7,3939,买盘
6,09:31:10,5.62,-0.01,3,1686,卖盘
7,09:31:13,5.62,0.0,20,11244,卖盘
8,09:31:16,5.63,0.01,1,563,中性盘
9,09:31:18,5.63,0.0,4,2252,卖盘
10,09:31:31,5.62,-0.01,100,56210,卖盘
11,09:31:37,5.62,0.0,4,2248,卖盘
12,09:31:40,5.62,0.0,7,3934,卖盘
13,09:32:04,5.62,0.0,11,6182,卖盘
14,09:32:10,5.62,0.0,10,5620,卖盘
15,09:32:16,5.62,0.0,47,26414,卖盘
16,09:32:22,5.62,0.0,54,30348,买盘
17,09:32:25,5.61,-0.01,20,11220,卖盘
18,09:32:34,5.62,0.01,2,1124,买盘
19,09:32:37,5.64,0.02,19,10715,买盘
20,09:32:40,5.62,-0.02,8,4496,卖盘
21,09:32:48,5.63,0.01,45,25335,买盘
22,09:33:07,5.62,-0.01,3,1744,卖盘
23,09:33:39,5.63,0.01,6,3378,卖盘
24,09:33:48,5.64,0.01,7,3948,买盘
25,09:33:55,5.64,0.0,4,2256,买盘
26,09:34:04,5.64,0.0,2,1128,买盘
27,09:34:06,5.63,-0.01,2,1126,卖盘
28,09:34:10,5.63,0.0,1,563,卖盘
29,09:34:16,5.64,0.01,1,564,买盘
30,09:34:19,5.64,0.0,3,1692,买盘
31,09:34:24,5.64,0.0,8,4512,买盘
32,09:34:37,5.63,-0.01,7,3943,卖盘
33,09:34:46,5.63,0.0,26,14638,卖盘
34,09:35:04,5.63,0.0,1,563,卖盘
35,09:35:06,5.63,0.0,2,1126,卖盘
36,09:35:25,5.64,0.01,11,6204,买盘
37,09:35:31,5.64,0.0,11,6204,卖盘
38,09:35:37,5.64,0.0,20,11280,卖盘
39,09:35:40,5.63,-0.01,15,8452,卖盘
40,09:35:43,5.63,0.0,5,2815,卖盘
41,09:35:45,5.64,0.01,19,10716,买盘
42,09:35:49,5.63,-0.01,6,3378,卖盘
43,09:35:52,5.63,0.0,6,3378,卖盘
44,09:35:55,5.63,0.0,7,3941,卖盘
45,09:35:57,5.63,0.0,1,563,卖盘
46,09:36:01,5.63,0.0,2,1126,卖盘
47,09:36:04,5.63,0.0,6,3378,卖盘
48,09:36:06,5.63,0.0,30,16892,卖盘
49,09:36:10,5.63,0.0,4,2252,卖盘
50,09:36:22,5.63,0.0,3,1689,卖盘
51,09:36:24,5.64,0.01,1,564,买盘
52,09:36:37,5.63,-0.01,5,2815,卖盘
53,09:36:54,5.64,0.01,18,10152,买盘
54,09:37:00,5.64,0.0,1,564,买盘
55,09:37:10,5.63,-0.01,3,1689,卖盘
56,09:37:13,5.63,0.0,6,3378,买盘
57,09:37:21,5.62,-0.01,11,6187,卖盘
58,09:37:27,5.64,0.02,17,9588,买盘
59,09:37:34,5.64,0.0,28,15792,卖盘
60,09:37:36,5.64,0.0,25,14120,卖盘
61,09:37:40,5.64,0.0,42,23690,卖盘
62,09:37:46,5.65,0.01,9,5085,买盘
63,09:37:57,5.65,0.0,4,2260,买盘
64,09:38:04,5.64,-0.01,3,1692,卖盘
65,09:38:07,5.64,0.0,12,6776,卖盘
66,09:38:10,5.64,0.0,4,2256,卖盘
67,09:38:13,5.64,0.0,11,6204,卖盘
68,09:38:22,5.64,0.0,1,564,买盘
69,09:38:31,5.64,0.0,34,19176,买盘
70,09:38:34,5.63,-0.01,8,4504,卖盘
71,09:38:37,5.63,0.0,7,3941,卖盘
72,09:38:40,5.63,0.0,12,6756,卖盘
73,09:38:46,5.64,0.01,5,2820,买盘
74,09:38:49,5.64,0.0,2,1128,卖盘
75,09:38:52,5.64,0.0,1,564,卖盘
76,09:38:55,5.64,0.0,7,3948,卖盘
77,09:38:58,5.64,0.0,12,6768,卖盘
78,09:39:01,5.64,0.0,3,1692,卖盘
79,09:39:07,5.63,-0.01,8,4506,卖盘
80,09:39:10,5.63,0.0,31,17453,卖盘
81,09:39:12,5.64,0.01,21,11841,买盘
82,09:39:15,5.63,-0.01,10,5633,卖盘
83,09:39:19,5.63,0.0,12,6766,卖盘
84,09:39:22,5.63,0.0,3,1689,卖盘
85,09:39:25,5.63,0.0,11,6193,卖盘
86,09:39:30,5.62,-0.01,5,2810,卖盘
87,09:39:33,5.62,0.0,3,1686,卖盘
88,09:39:40,5.62,0.0,3,1686,卖盘
89,09:39:43,5.63,0.01,7,3941,买盘
90,09:39:46,5.63,0.0,5,2815,卖盘
91,09:39:49,5.63,0.0,8,4504,卖盘
92,09:39:52,5.63,0.0,22,12386,卖盘
93,09:39:55,5.63,0.0,3,1689,卖盘
94,09:39:58,5.63,0.0,7,3941,卖盘
95,09:40:01,5.63,0.0,11,6192,买盘
96,09:40:04,5.62,-0.01,11,6182,卖盘
97,09:40:07,5.62,0.0,5,2810,卖盘
98,09:40:10,5.62,0.0,3,1686,卖盘
99,09:40:13,5.63,0.01,3,1688,买盘
100,09:40:16,5.63,0.0,12,6756,卖盘
101,09:40:19,5.63,0.0,9,5067,卖盘
102,09:40:22,5.63,0.0,4,2252,卖盘
103,09:40:25,5.63,0.0,4,2252,卖盘
104,09:40:28,5.63,0.0,4,2252,卖盘
105,09:40:31,5.63,0.0,4,2252,卖盘
106,09:40:34,5.63,0.0,3,1689,卖盘
107,09:40:37,5.63,0.0,2,1126,买盘
108,09:40:40,5.62,-0.01,1,562,卖盘
109,09:40:43,5.63,0.01,11,6193,买盘
110,09:40:49,5.63,0.0,3,1689,卖盘
111,09:40:52,5.64,0.01,4,2253,买盘
112,09:40:55,5.63,-0.01,3,1689,卖盘
113,09:40:57,5.62,-0.01,4,2251,卖盘
114,09:41:04,5.61,-0.01,7,3933,卖盘
115,09:41:12,5.62,0.01,12,6744,买盘
116,09:41:34,5.62,0.0,13,7306,卖盘
117,09:41:37,5.62,0.0,4,2248,卖盘
118,09:41:42,5.63,0.01,15,8445,买盘
119,09:41:46,5.62,-0.01,13,7306,卖盘
120,09:41:49,5.62,0.0,32,17984,卖盘
121,09:41:57,5.63,0.01,1,563,买盘
122,09:42:04,5.62,-0.01,3,1686,卖盘
123,09:42:07,5.62,0.0,23,12905,买盘
124,09:42:10,5.62,0.0,1,562,买盘
125,09:42:13,5.62,0.0,16,8992,买盘
126,09:42:43,5.63,0.01,20,11260,买盘
127,09:42:51,5.63,0.0,31,17446,买盘
128,09:42:57,5.63,0.0,20,11260,卖盘
129,09:43:07,5.63,0.0,2,1126,卖盘
130,09:43:10,5.62,-0.01,53,29828,卖盘
131,09:43:12,5.64,0.02,35,19738,买盘
132,09:43:39,5.62,-0.02,6,3372,卖盘
133,09:43:43,5.64,0.02,18,10152,买盘
134,09:44:06,5.64,0.0,5,2820,卖盘
135,09:44:10,5.64,0.0,22,12408,卖盘
136,09:44:12,5.65,0.01,14,7907,买盘
137,09:44:22,5.66,0.01,68,38479,买盘
138,09:44:25,5.63,-0.03,95,53731,卖盘
139,09:44:36,5.62,-0.01,5,2810,卖盘
140,09:44:40,5.62,0.0,8,4496,卖盘
141,09:44:42,5.64,0.02,61,34409,买盘
142,09:44:46,5.64,0.0,10,5640,卖盘
143,09:44:49,5.64,0.0,1,564,卖盘
144,09:44:58,5.65,0.01,55,31075,买盘
145,09:45:07,5.64,-0.01,11,6204,卖盘
146,09:45:10,5.64,0.0,7,3950,卖盘
147,09:45:13,5.65,0.01,15,8475,买盘
148,09:45:25,5.63,-0.02,1,563,卖盘
149,09:45:31,5.67,0.04,34,19277,买盘
150,09:45:37,5.65,-0.02,7,3955,卖盘
151,09:45:40,5.65,0.0,9,5085,买盘
152,09:45:43,5.63,-0.02,4,2254,卖盘
153,09:45:55,5.66,0.03,2,1132,买盘
154,09:46:04,5.63,-0.03,37,20831,卖盘
155,09:46:06,5.63,0.0,3,1689,中性盘
156,09:46:10,5.62,-0.01,6,3372,卖盘
157,09:46:13,5.62,0.0,1,562,卖盘
158,09:46:37,5.62,0.0,5,2810,卖盘
