,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
932,300313.SZ,20140102,18.25,18.7,18.25,18.66,18.34,0.32,1.74,14151.4,26139.0688
931,300313.SZ,20140103,18.61,18.95,18.4,18.5,18.66,-0.16,-0.86,11227.8,20970.0587
930,300313.SZ,20140106,18.46,18.46,17.48,18.2,18.5,-0.3,-1.62,16835.78,30019.8648
929,300313.SZ,20140107,18.25,18.98,18.2,18.73,18.2,0.53,2.91,14478.95,27003.0533
928,300313.SZ,20140108,18.7,19.29,18.7,19.18,18.73,0.45,2.4,16257.01,31005.7352
927,300313.SZ,20140109,19.11,19.11,18.0,18.0,19.18,-1.18,-6.15,12837.97,23890.6933
926,300313.SZ,20140110,17.91,17.91,17.26,17.27,18.0,-0.73,-4.06,11587.91,20327.8247
925,300313.SZ,20140113,17.32,17.5,17.05,17.38,17.27,0.11,0.64,6333.57,10945.81
924,300313.SZ,20140114,17.49,17.84,17.32,17.83,17.38,0.45,2.59,6689.01,11773.6413
923,300313.SZ,20140115,17.98,18.16,17.67,18.06,17.83,0.23,1.29,6281.38,11283.8118
922,300313.SZ,20140116,17.95,18.5,17.95,18.15,18.06,0.09,0.5,7992.94,14564.8593
921,300313.SZ,20140117,18.25,18.25,17.65,17.74,18.15,-0.41,-2.26,6657.34,11920.7978
920,300313.SZ,20140120,17.88,18.12,17.33,17.34,17.74,-0.4,-2.25,7118.09,12581.7459
919,300313.SZ,20140121,17.37,17.79,17.26,17.75,17.34,0.41,2.36,6150.5,10819.1119
918,300313.SZ,20140122,17.94,19.0,17.74,18.7,17.75,0.95,5.35,15606.31,28815.4079
917,300313.SZ,20140123,18.7,18.86,18.53,18.85,18.7,0.15,0.8,10619.07,19854.9629
916,300313.SZ,20140124,18.85,18.98,18.6,18.66,18.85,-0.19,-1.01,9859.15,18555.9718
915,300313.SZ,20140127,18.66,19.1,18.59,18.95,18.66,0.29,1.55,12349.43,23327.6624
914,300313.SZ,20140128,18.89,19.53,18.64,18.76,18.95,-0.19,-1.0,10065.34,19129.5366
913,300313.SZ,20140129,18.21,18.57,18.05,18.43,18.76,-0.33,-1.76,11261.31,20586.2168
912,300313.SZ,20140130,18.35,18.41,17.81,17.96,18.43,-0.47,-2.55,6740.34,12175.961
911,300313.SZ,20140207,17.9,18.38,17.83,18.37,17.96,0.41,2.28,5775.55,10472.6059
910,300313.SZ,20140210,18.38,19.0,18.38,18.97,18.37,0.6,3.27,10308.81,19454.108
909,300313.SZ,20140211,19.11,19.3,18.61,18.85,18.97,-0.12,-0.63,11165.25,21064.2636
908,300313.SZ,20140212,18.85,19.75,18.84,19.75,18.85,0.9,4.77,21973.59,42697.3798
907,300313.SZ,20140213,19.8,19.8,18.78,18.95,19.75,-0.8,-4.05,15038.08,29144.3916
906,300313.SZ,20140214,19.0,19.39,18.9,19.38,18.95,0.43,2.27,8604.45,16533.246
905,300313.SZ,20140217,19.52,19.69,19.31,19.59,19.38,0.21,1.08,11412.82,22273.1367
904,300313.SZ,20140218,19.53,19.68,19.13,19.25,19.59,-0.34,-1.74,9674.75,18714.5679
903,300313.SZ,20140219,19.27,19.39,19.03,19.2,19.25,-0.05,-0.26,7065.72,13576.2262
902,300313.SZ,20140220,19.25,19.73,18.91,19.5,19.2,0.3,1.56,14301.04,27738.6133
901,300313.SZ,20140221,19.5,21.34,19.39,21.24,19.5,1.74,8.92,37147.49,75870.8538
900,300313.SZ,20140224,21.24,21.6,20.6,21.1,21.24,-0.14,-0.66,20678.85,43518.1157
899,300313.SZ,20140225,21.1,23.1,20.58,20.9,21.1,-0.2,-0.95,33533.32,73398.4245
898,300313.SZ,20140226,20.85,21.5,18.83,20.3,20.9,-0.6,-2.87,21927.27,43615.661
897,300313.SZ,20140227,19.89,20.83,18.85,19.05,20.3,-1.25,-6.16,16646.83,33172.0309
896,300313.SZ,20140228,18.9,19.19,17.89,18.43,19.05,-0.62,-3.25,14782.02,27002.7131
895,300313.SZ,20140303,18.38,19.2,18.28,19.09,18.43,0.66,3.58,9222.13,17301.2972
894,300313.SZ,20140304,19.13,19.13,18.31,18.87,19.09,-0.22,-1.15,8666.5,16177.6126
893,300313.SZ,20140305,18.66,19.05,18.51,18.74,18.87,-0.13,-0.69,6466.99,12120.3019
892,300313.SZ,20140306,18.77,18.96,18.54,18.95,18.74,0.21,1.12,6329.19,11905.215
891,300313.SZ,20140307,18.98,19.3,18.71,18.82,18.95,-0.13,-0.69,5643.95,10731.3581
