trade_date,open,high,low,close,pct_chg,vol,amount,K,D,J,KDJ_金叉死叉
20140102,8.0,8.14,7.9,8.08,0.62,317467.37,255418.605,74.99999999999982,74.99999999999982,74.9999999999998,
20140103,8.03,8.04,7.82,7.86,-2.72,332276.46,262662.882,37.49999999999993,52.49999999999988,7.500000000000028,
20140106,7.82,7.82,7.36,7.37,-6.23,446536.7,336016.153,20.344129554655822,37.26827189431059,-13.504155124653707,
20140107,7.28,7.5,7.26,7.38,0.14,373662.91,275707.88,17.55782678859599,29.080856235013755,-5.488232104239543,
20140108,7.38,7.48,7.26,7.29,-1.22,320753.51,235879.419,12.126321545752818,22.5722433922169,-8.765522147175346,
20140109,7.29,7.56,7.29,7.35,0.82,397110.99,294980.809,11.432383406067604,18.50158778825558,-2.706025358308345,
20140110,7.35,7.38,7.16,7.18,-2.31,332217.72,240525.06,8.107248679995482,14.821416243854605,-5.321086447722763,
20140113,7.18,7.29,7.02,7.13,-0.7,244992.52,174490.329,8.701842085636118,12.698734454160103,0.7080573485881487,金叉
20140114,7.19,7.38,7.16,7.35,3.09,365655.91,266246.578,15.80749085969954,13.762661780681633,19.89714901773535,
20140115,7.34,7.58,7.22,7.52,2.31,434094.98,320984.089,27.073567526395014,18.277932057163778,44.66483846485749,
20140116,7.48,7.57,7.4,7.44,-1.06,299884.45,224553.57100000003,35.64817623994509,24.135735635419813,58.673057448995635,
20140117,7.41,7.46,7.15,7.17,-3.63,238182.18,173633.694,32.671076717230136,27.002947928357933,44.00733429497454,
20140120,7.39,7.45,7.11,7.16,-0.14,400760.74,290299.762,30.10084469876416,28.040913492085934,34.22070711212061,
20140121,7.17,7.31,7.15,7.21,0.7,258322.49,186496.199,31.381139241512603,29.15814915189336,35.82711942075109,
20140122,7.2,7.53,7.19,7.44,3.19,496217.62,366266.244,45.95403901729447,34.76959372878855,68.32292959430632,
20140123,7.43,7.51,7.4,7.44,0.0,358018.23,266505.535,55.65078871990205,41.740604997471664,83.47115616476285,
20140124,7.6,7.6,7.46,7.52,1.08,456507.09,343263.774,65.0011725341804,49.502005014268605,95.99950757400399,
20140127,7.54,7.76,7.5,7.68,2.13,551911.81,422374.32399999996,72.57000562487767,57.1965449806954,103.3169269132422,
20140128,7.63,7.66,7.43,7.48,-2.6,369359.47,277056.711,67.35200892254457,60.58322733664768,80.88957209433835,死叉
20140129,7.47,7.54,7.38,7.4,-1.07,354602.55,263768.00399999996,59.77085428301663,60.312354859653674,58.68785312974255,
20140130,7.39,7.46,7.3,7.31,-1.22,208246.09,153646.447,50.10170791880283,56.90812337938954,36.488876997629404,
20140207,7.28,7.47,7.25,7.46,2.05,227398.93,168186.879,50.341061314218095,54.718810073551765,41.58556379555074,金叉
20140210,7.5,7.77,7.48,7.73,3.62,574134.15,439486.984,64.59646052575876,58.01165363241498,77.76607431244632,
20140211,7.76,7.94,7.73,7.8,0.91,586219.79,459177.72799999994,69.63465461116213,61.88621745345619,85.131528926574,
20140212,7.84,8.48,7.72,8.39,7.56,1127588.51,916529.9140000001,77.3177162827896,67.0302541113657,97.8926406256374,
20140213,8.28,8.34,8.06,8.08,-3.69,738676.99,604451.155,74.03828253907237,69.3663252628605,83.3821970914961,
20140214,8.08,8.25,8.06,8.16,0.99,435915.72,355919.214,74.02010131850768,70.91761125217684,80.22508145116939,
20140217,8.25,8.28,8.12,8.23,0.86,387843.62,318069.334,75.90502191258443,72.58010097990709,82.55486377793912,
20140218,8.33,8.64,8.25,8.3,0.85,803338.86,676153.321,75.78320310388588,73.64781004020637,80.05398923124491,
20140219,8.24,8.46,8.2,8.37,0.84,597696.34,498916.85799999995,77.38065692291251,74.89209882352601,82.35777312168548,死叉
20140220,8.36,8.45,8.16,8.24,-1.55,530068.33,440327.098,73.42617132636627,74.40345462558881,71.4716047279212,
20140221,8.24,8.34,8.08,8.23,-0.12,435319.29,357567.916,67.42902785351019,72.07864031306146,58.12980293440765,
20140224,8.22,8.28,8.0,8.14,-1.09,425467.46,345795.411,60.1700653233755,68.10910918272698,44.29197760467255,
20140225,8.1,8.17,7.4,7.56,-7.13,661153.7,517736.092,44.414435920528284,60.21087662569117,12.821554510202503,
20140226,7.55,7.63,7.36,7.53,-0.4,482331.94,361435.43700000003,34.036700153322926,51.48614514309218,-0.8621898262155838,
20140227,7.54,8.28,7.46,7.79,3.45,1040941.21,819326.4240000001,33.889050034614996,45.620444088041396,10.426261927762198,
20140228,7.29,7.6,7.18,7.52,-3.47,630462.81,469483.448,30.355256022091723,40.53204651294018,10.001675040394815,
20140303,7.44,7.73,7.41,7.69,2.26,418974.58,318827.972,33.51808799164966,38.194059863431725,24.16614424808553,
20140304,7.61,7.76,7.53,7.7,0.13,382033.0,292341.184,35.99368629351894,37.460601907295725,33.059855065965365,金叉
20140305,7.77,8.0,7.67,7.69,-0.13,635983.15,498517.24,38.650963516457196,37.857389146234084,40.23811225690342,死叉
20140306,7.6,7.65,7.45,7.49,-2.6,430361.47,323338.022,35.161248194509604,36.95867544147418,31.566393700580463,
20140307,7.51,7.57,7.34,7.36,-1.74,293792.93,218360.48100000003,28.895377332364717,34.27090929707082,18.144313402952505,
20140310,7.26,7.26,6.88,6.9,-6.25,519114.33,365612.422,19.739775119096787,29.427197774618957,0.36492980805244457,
20140311,6.88,6.97,6.82,6.91,0.14,276124.78,190233.01,15.214644519107773,24.68967993814973,-3.7354263189761383,
20140312,6.9,6.95,6.67,6.79,-1.74,277664.62,189002.819,13.150615118482786,20.843324952452605,-2.234804549456854,
20140313,6.78,6.85,6.7,6.81,0.29,245545.53,166933.416,12.275848668534394,17.987499501805576,0.8525470019920292,
20140314,6.78,6.79,6.62,6.67,-2.06,228759.05,153314.33800000002,9.391628565688801,15.122209174600359,-2.0695326521343134,
20140317,6.64,6.78,6.63,6.78,1.65,203045.36,136422.794,10.125820012566884,13.456746114712216,3.4639678082762195,金叉
20140318,6.77,6.91,6.75,6.84,0.89,245453.03,168016.827,13.87028778417704,13.594593338191443,14.421676676148234,死叉
20140319,6.82,6.83,6.66,6.71,-1.9,212849.4,142867.628,12.404753257328352,13.197979977281728,10.8182998174216,
20140320,6.69,6.95,6.65,6.71,0.0,374270.69,254779.55899999998,12.957335505463318,13.11776515325839,12.636476209873173,金叉
20140321,6.72,6.95,6.7,6.88,2.53,345349.1,235858.28399999999,33.400128446462986,19.878552922372425,60.44327949464411,
20140324,6.88,7.03,6.87,6.94,0.87,348446.02,241563.71399999998,48.28301246715955,29.346706108367886,86.15562518474289,
20140325,6.89,6.97,6.82,6.97,0.43,329580.53,228143.21300000002,60.64395953478119,39.77912392040421,102.37363076353516,
20140326,6.96,6.99,6.85,6.94,-0.43,271436.72,187905.81,66.44556652032064,48.667938122212156,102.00082331653759,
20140327,6.94,6.94,6.73,6.74,-2.88,281928.94,192362.05399999997,53.46371101175969,50.26652908561478,59.85807486404951,
20140328,6.72,7.18,6.62,6.93,2.82,558683.82,383514.869,54.09485496027867,51.54263771061987,59.19928945959626,
20140331,6.92,7.08,6.78,6.97,0.58,511923.52,353401.961,56.896569973690546,53.3272817984193,64.03514632423305,
20140401,6.93,7.1,6.9,6.99,0.29,504145.0,351577.55799999996,59.954856173061344,55.53647325672344,68.79162200573717,
20140402,6.99,7.08,6.92,6.97,-0.29,277243.99,193296.858,60.803237448730634,57.292061320773584,67.82558970464473,死叉
20140403,6.99,7.0,6.81,6.82,-2.15,229087.25,157973.405,52.44025353709738,55.67479205951886,45.97117649225443,
20140404,6.8,6.86,6.76,6.83,0.15,156451.13,106479.90800000001,47.4601690246714,52.93658438120328,36.507338311607626,
20140408,6.8,6.94,6.78,6.9,1.02,224466.08,153992.267,48.30677934978778,51.39331603738568,42.13370597459199,金叉
20140409,6.92,7.08,6.9,7.02,1.74,446469.77,312338.958,56.014043376090385,52.93355848362885,62.17501316101344,
20140410,7.0,7.03,6.93,6.98,-0.57,307682.5,214458.268,58.771267012641594,54.87946132664007,66.55487838464464,死叉
20140411,6.97,6.98,6.87,6.89,-1.29,256094.41,176952.544,51.92594271429373,53.89495512252227,47.98791789783665,
20140414,6.87,6.97,6.86,6.95,0.87,183522.22,126998.505,53.24474612325679,53.67821878943343,52.37780079090351,金叉
20140415,6.99,7.05,6.95,6.96,0.14,381611.94,266872.147,56.32983074884114,54.562089442570276,59.86531336138286,
20140416,6.95,7.02,6.86,6.94,-0.29,246699.23,171092.141,56.30322049922746,55.14246646145641,58.62472857476956,死叉
20140417,7.01,7.03,6.89,6.92,-0.29,199248.65,138491.425,54.20214699948398,54.82902664079878,52.948387716854384,
20140418,6.92,6.93,6.85,6.9,-0.29,146660.6,100971.67800000001,49.46809799965451,53.04205042708346,42.32019314479662,
20140421,6.8,6.89,6.7,6.71,-2.75,249317.47,169573.44,33.855924982222525,46.64667527879514,8.274424389077296,
20140422,6.71,6.77,6.52,6.61,-1.49,265753.99,176174.783,28.23099401330484,40.508114856964184,3.6767523259861576,
